configuration_id,TARGET_CLASS,criterion,Coverage,BranchCoverage,CBranchCoverage,Total_Branches,Covered_Branches,Covered_Branches_Real,Total_Goals,Covered_Goals;
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
CMX,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
DEFAULT,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.4347826086956521,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
CMX,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.0869565217391304,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.1304347826086956,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,jgaapGUI,BRANCH;CBRANCH,0.4782608695652174,0.0869565217391304,0.0869565217391304,20,0,0,46,4
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,BRANCH;CBRANCH,1.0,1.0,1.0,20,20,20,42,42
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
COVERAGE,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7758620689655172,0.7931034482758621,0.7931034482758621,18,12,12,58,45
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
DEFAULT,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7931034482758621,0.7931034482758621,0.7931034482758621,18,12,12,58,46
CMX,weka.core.Memory,BRANCH;CBRANCH,0.7586206896551724,0.7586206896551724,0.7586206896551724,18,11,11,58,44
